year,country,wiki,lower_bound,upper_bound,mean
2018,Australia,cebwiki,1,10,5.5
2018,Australia,chrwiki,1,10,5.5
2018,Australia,cowiki,1,10,5.5
2018,Australia,cswiki,1,10,5.5
2018,Australia,cywiki,1,10,5.5
2018,Australia,dawiki,1,10,5.5
2018,Australia,dewiki,4,22,13.0
2018,Australia,dvwiki,1,10,5.5
2018,Australia,elwiki,1,10,5.5
2018,Australia,enwiki,2696,2714,2705.0
2018,Australia,eowiki,1,10,5.5
2018,Australia,eswiki,6,24,15.0
2018,Australia,etwiki,1,10,5.5
2018,Australia,euwiki,1,10,5.5
2018,Australia,fawiki,2,20,11.0
2018,Australia,fiwiki,1,10,5.5
2018,Australia,fowiki,1,10,5.5
2018,Australia,frrwiki,1,10,5.5
2018,Australia,frwiki,4,18,11.0
2018,Australia,furwiki,1,10,5.5
2018,Australia,fywiki,1,10,5.5
2018,Australia,gawiki,1,10,5.5
2018,Australia,gdwiki,1,10,5.5
2018,Australia,glwiki,1,10,5.5
2018,Australia,gotwiki,1,10,5.5
2018,Australia,guwiki,1,10,5.5
2018,Australia,gvwiki,1,10,5.5
2018,Australia,hewiki,1,10,5.5
2018,Australia,hifwiki,1,10,5.5
2018,Australia,hiwiki,1,10,5.5
2018,Australia,hrwiki,1,12,6.5
2018,Australia,huwiki,1,10,5.5
2018,Australia,hywiki,1,10,5.5
2018,Australia,iawiki,1,10,5.5
2018,Australia,idwiki,1,10,5.5
2018,Australia,iewiki,1,10,5.5
2018,Australia,igwiki,1,10,5.5
2018,Australia,iswiki,1,10,5.5
2018,Australia,itwiki,1,10,5.5
2018,Australia,iuwiki,1,10,5.5
2018,Australia,jawiki,3,16,9.5
2018,Australia,jbowiki,1,10,5.5
2018,Australia,jvwiki,1,10,5.5
2018,Australia,kabwiki,1,10,5.5
2018,Australia,kawiki,1,10,5.5
2018,Australia,knwiki,1,10,5.5
2018,Australia,kowiki,1,12,6.5
2018,Australia,kuwiki,1,10,5.5
2018,Australia,lawiki,1,12,6.5
2018,Australia,lbewiki,1,10,5.5
2018,Australia,lijwiki,1,10,5.5
2018,Australia,lmowiki,1,10,5.5
2018,Australia,lowiki,1,10,5.5
2018,Australia,ltwiki,1,10,5.5
2018,Australia,lvwiki,1,10,5.5
2018,Australia,mgwiki,1,10,5.5
2018,Australia,miwiki,1,10,5.5
2018,Australia,mkwiki,1,13,7.0
2018,Australia,mlwiki,1,10,5.5
2018,Australia,mnwiki,1,10,5.5
2018,Australia,mrwiki,1,10,5.5
2018,Australia,mswiki,1,10,5.5
2018,Australia,mywiki,1,10,5.5
2018,Australia,napwiki,1,10,5.5
2018,Australia,newwiki,1,10,5.5
2018,Australia,nlwiki,1,14,7.5
2018,Australia,nnwiki,1,10,5.5
2018,Australia,nowiki,1,11,6.0
2018,Australia,orwiki,1,10,5.5
2018,Australia,oswiki,1,10,5.5
2018,Australia,pawiki,1,10,5.5
2018,Australia,pihwiki,1,10,5.5
2018,Australia,plwiki,1,10,5.5
2018,Australia,pmswiki,1,10,5.5
2018,Australia,pnbwiki,1,10,5.5
2018,Australia,pntwiki,1,10,5.5
2018,Australia,ptwiki,1,10,5.5
2018,Australia,quwiki,1,10,5.5
2018,Australia,rmwiki,1,10,5.5
2018,Australia,rowiki,1,10,5.5
2018,Australia,ruwiki,2,12,7.0
2018,Australia,rwwiki,1,10,5.5
2018,Australia,scnwiki,1,10,5.5
2018,Australia,scowiki,1,10,5.5
2018,Australia,scwiki,1,10,5.5
2018,Australia,sdwiki,1,10,5.5
2018,Australia,simplewiki,19,35,27.0
2018,Australia,skwiki,1,10,5.5
2018,Australia,slwiki,1,10,5.5
2018,Australia,sowiki,1,10,5.5
2018,Australia,sqwiki,1,10,5.5
2018,Australia,srwiki,1,10,5.5
2018,Australia,svwiki,1,16,8.5
2018,Australia,tawiki,1,15,8.0
2018,Australia,tetwiki,1,10,5.5
2018,Australia,tewiki,1,10,5.5
2018,Australia,thwiki,1,10,5.5
2018,Australia,tlwiki,1,12,6.5
2018,Australia,trwiki,1,11,6.0
2018,Australia,ttwiki,1,10,5.5
2018,Australia,ukwiki,1,14,7.5
2018,Australia,urwiki,1,10,5.5
2018,Australia,uzwiki,1,10,5.5
2018,Australia,vecwiki,1,10,5.5
2018,Australia,viwiki,1,11,6.0
2018,Australia,vowiki,1,10,5.5
2018,Australia,warwiki,1,10,5.5
2018,Australia,yiwiki,1,10,5.5
2018,Australia,zh_classicalwiki,1,10,5.5
2018,Australia,zh_yuewiki,1,14,7.5
2018,Australia,zhwiki,55,73,64.0
2018,Australia,zuwiki,1,10,5.5
2018,Austria,arwiki,1,10,5.5
2018,Austria,arzwiki,1,10,5.5
2018,Austria,azwiki,1,13,7.0
2018,Austria,barwiki,1,10,5.5
2018,Austria,be_x_oldwiki,1,10,5.5
2018,Austria,bewiki,1,10,5.5
2018,Austria,bgwiki,1,10,5.5
2018,Austria,bjnwiki,1,10,5.5
2018,Austria,bnwiki,1,10,5.5
2018,Austria,bswiki,1,18,9.5
2018,Austria,cawiki,1,10,5.5
2018,Austria,cebwiki,1,10,5.5
2018,Austria,cswiki,1,13,7.0
2018,Austria,cywiki,1,10,5.5
2018,Austria,dawiki,1,12,6.5
2018,Austria,dewiki,654,672,663.0
2018,Austria,elwiki,1,10,5.5
2018,Austria,enwiki,149,167,158.0
2018,Austria,eowiki,1,10,5.5
2018,Austria,eswiki,2,15,8.5
2018,Austria,etwiki,1,10,5.5
2018,Austria,fawiki,1,19,10.0
2018,Austria,fiwiki,1,10,5.5
2018,Austria,frwiki,6,15,10.5
2018,Austria,gagwiki,1,10,5.5
2018,Austria,gawiki,1,10,5.5
2018,Austria,hewiki,1,10,5.5
2018,Austria,hrwiki,1,15,8.0
2018,Austria,huwiki,1,18,9.5
2018,Austria,hywiki,1,10,5.5
2018,Austria,idwiki,1,15,8.0
2018,Austria,iswiki,1,10,5.5
2018,Austria,itwiki,2,20,11.0
2018,Austria,jawiki,1,11,6.0
2018,Austria,jvwiki,1,10,5.5
2018,Austria,kawiki,1,10,5.5
2018,Austria,kkwiki,1,10,5.5
2018,Austria,kowiki,1,10,5.5
2018,Austria,lawiki,1,10,5.5
2018,Austria,lbwiki,1,10,5.5
2018,Austria,lmowiki,1,10,5.5
2018,Austria,ltwiki,1,10,5.5
2018,Austria,lvwiki,1,10,5.5
2018,Austria,mgwiki,1,10,5.5
2018,Austria,mkwiki,1,10,5.5
2018,Austria,mnwiki,1,10,5.5
2018,Austria,mrwiki,1,10,5.5
2018,Austria,mswiki,1,10,5.5
2018,Austria,ndswiki,1,10,5.5
2018,Austria,newiki,1,10,5.5
2018,Austria,nlwiki,1,12,6.5
2018,Austria,nnwiki,1,10,5.5
2018,Austria,nowiki,1,10,5.5
2018,Austria,plwiki,1,11,6.0
2018,Austria,pswiki,1,10,5.5
2018,Austria,ptwiki,1,10,5.5
2018,Austria,rowiki,1,10,5.5
2018,Austria,ruwiki,1,11,6.0
2018,Austria,scowiki,1,10,5.5
2018,Austria,shwiki,1,10,5.5
2018,Austria,simplewiki,1,10,5.5
2018,Austria,skwiki,1,10,5.5
2018,Austria,slwiki,1,10,5.5
2018,Austria,sqwiki,1,10,5.5
2018,Austria,srwiki,1,10,5.5
2018,Austria,suwiki,1,10,5.5
2018,Austria,svwiki,1,10,5.5
2018,Austria,thwiki,1,10,5.5
2018,Austria,trwiki,1,13,7.0
2018,Austria,ukwiki,1,10,5.5
2018,Austria,uzwiki,1,10,5.5
2018,Austria,vecwiki,1,10,5.5
2018,Austria,viwiki,1,10,5.5
2018,Austria,vowiki,1,10,5.5
2018,Austria,warwiki,1,10,5.5
2018,Austria,zh_classicalwiki,1,10,5.5
2018,Austria,zh_yuewiki,1,10,5.5
2018,Austria,zhwiki,1,13,7.0
2018,Bahamas,dewiki,1,10,5.5
2018,Bahamas,enwiki,1,11,6.0
2018,Bahamas,eswiki,1,10,5.5
2018,Bahamas,frwiki,1,10,5.5
2018,Bahamas,srwiki,1,10,5.5
2018,Bangladesh,acewiki,1,10,5.5
2018,Bangladesh,arwiki,1,10,5.5
2018,Bangladesh,aswiki,1,10,5.5
2018,Bangladesh,azwiki,1,10,5.5
2018,Bangladesh,bhwiki,1,10,5.5
2018,Bangladesh,bnwiki,219,237,228.0
2018,Bangladesh,bpywiki,1,10,5.5
2018,Bangladesh,cawiki,1,10,5.5
2018,Bangladesh,cswiki,1,10,5.5
2018,Bangladesh,dewiki,1,10,5.5
2018,Bangladesh,emlwiki,1,10,5.5
2018,Bangladesh,enwiki,331,349,340.0
2018,Bangladesh,eowiki,1,10,5.5
2018,Bangladesh,eswiki,1,10,5.5
2018,Bangladesh,fawiki,1,10,5.5
2018,Bangladesh,fiwiki,1,10,5.5
2018,Bangladesh,frwiki,1,12,6.5
2018,Bangladesh,glwiki,1,10,5.5
2018,Bangladesh,hewiki,1,10,5.5
2018,Bangladesh,hifwiki,1,10,5.5
2018,Bangladesh,hiwiki,1,11,6.0
2018,Bangladesh,huwiki,1,10,5.5
2018,Bangladesh,idwiki,1,10,5.5
2018,Bangladesh,itwiki,1,10,5.5
2018,Bangladesh,jawiki,1,10,5.5
2018,Bangladesh,kowiki,1,10,5.5
2018,Bangladesh,lawiki,1,10,5.5
2018,Bangladesh,maiwiki,1,10,5.5
2018,Bangladesh,mgwiki,1,10,5.5
2018,Bangladesh,mlwiki,1,10,5.5
2018,Bangladesh,mrwiki,1,10,5.5
2018,Bangladesh,newiki,1,12,6.5
2018,Bangladesh,nlwiki,1,10,5.5
2018,Bangladesh,nowiki,1,10,5.5
2018,Bangladesh,orwiki,1,10,5.5
2018,Bangladesh,pawiki,1,10,5.5
2018,Bangladesh,plwiki,1,10,5.5
2018,Bangladesh,pnbwiki,1,10,5.5
2018,Bangladesh,ptwiki,1,10,5.5
2018,Bangladesh,rnwiki,1,10,5.5
2018,Bangladesh,ruwiki,1,10,5.5
2018,Bangladesh,simplewiki,1,11,6.0
2018,Bangladesh,svwiki,1,10,5.5
2018,Bangladesh,tawiki,1,10,5.5
2018,Bangladesh,thwiki,1,10,5.5
2018,Bangladesh,trwiki,1,10,5.5
2018,Bangladesh,ukwiki,1,10,5.5
2018,Bangladesh,urwiki,1,10,5.5
2018,Bangladesh,viwiki,1,10,5.5
2018,Bangladesh,zh_yuewiki,1,10,5.5
2018,Bangladesh,zhwiki,1,10,5.5
2018,Barbados,enwiki,1,10,5.5
2018,Belgium,afwiki,1,10,5.5
2018,Belgium,anwiki,1,10,5.5
2018,Belgium,arwiki,1,10,5.5
2018,Belgium,arzwiki,1,10,5.5
2018,Belgium,astwiki,1,10,5.5
2018,Belgium,azwiki,1,10,5.5
2018,Belgium,bgwiki,1,10,5.5
2018,Belgium,bnwiki,1,10,5.5
2018,Belgium,bswiki,1,10,5.5
2018,Belgium,cawiki,1,15,8.0
2018,Belgium,cebwiki,1,10,5.5
2018,Belgium,cswiki,1,12,6.5
2018,Belgium,cywiki,1,12,6.5
2018,Belgium,dawiki,1,10,5.5
2018,Belgium,dewiki,16,30,23.0
2018,Belgium,elwiki,1,10,5.5
2018,Belgium,enwiki,249,267,258.0
2018,Belgium,eowiki,2,20,11.0
2018,Belgium,eswiki,10,23,16.5
2018,Belgium,etwiki,1,10,5.5
2018,Belgium,fawiki,1,18,9.5
2018,Belgium,fiwiki,1,10,5.5
2018,Belgium,fowiki,1,10,5.5
2018,Belgium,frwiki,417,435,426.0
2018,Belgium,fywiki,1,10,5.5
2018,Belgium,gawiki,1,11,6.0
2018,Belgium,glwiki,1,10,5.5
2018,Belgium,hewiki,1,10,5.5
2018,Belgium,hifwiki,1,10,5.5
2018,Belgium,hiwiki,1,10,5.5
2018,Belgium,hrwiki,1,10,5.5
2018,Belgium,huwiki,1,11,6.0
2018,Belgium,hywiki,1,10,5.5
2018,Belgium,idwiki,1,10,5.5
2018,Belgium,iswiki,1,10,5.5
2018,Belgium,itwiki,7,22,14.5
2018,Belgium,iuwiki,1,10,5.5
2018,Belgium,jawiki,1,10,5.5
2018,Belgium,kawiki,1,10,5.5
2018,Belgium,kkwiki,1,10,5.5
2018,Belgium,kowiki,1,10,5.5
2018,Belgium,kuwiki,1,10,5.5
2018,Belgium,lawiki,1,10,5.5
2018,Belgium,lbwiki,2,20,11.0
2018,Belgium,liwiki,1,10,5.5
2018,Belgium,ltwiki,1,10,5.5
2018,Belgium,lvwiki,1,10,5.5
2018,Belgium,mgwiki,1,10,5.5
2018,Belgium,mkwiki,1,10,5.5
2018,Belgium,mrwiki,1,10,5.5
2018,Belgium,mswiki,1,10,5.5
2018,Belgium,newiki,1,10,5.5
2018,Belgium,nlwiki,523,541,532.0
2018,Belgium,nnwiki,1,10,5.5
2018,Belgium,nowiki,1,11,6.0
2018,Belgium,omwiki,1,10,5.5
2018,Belgium,pawiki,1,10,5.5
2018,Belgium,pcdwiki,1,10,5.5
2018,Belgium,plwiki,2,15,8.5
2018,Belgium,ptwiki,1,10,5.5
2018,Belgium,rowiki,1,15,8.0
2018,Belgium,ruwiki,2,20,11.0
2018,Belgium,scowiki,1,10,5.5
2018,Belgium,shwiki,1,10,5.5
2018,Belgium,simplewiki,1,10,5.5
2018,Belgium,skwiki,1,10,5.5
2018,Belgium,slwiki,1,10,5.5
2018,Belgium,sqwiki,1,11,6.0
2018,Belgium,srwiki,1,10,5.5
2018,Belgium,suwiki,1,10,5.5
2018,Belgium,svwiki,2,12,7.0
2018,Belgium,swwiki,1,10,5.5
2018,Belgium,tawiki,1,10,5.5
2018,Belgium,tewiki,1,10,5.5
2018,Belgium,thwiki,1,10,5.5
2018,Belgium,trwiki,1,18,9.5
2018,Belgium,ukwiki,1,10,5.5
2018,Belgium,uzwiki,1,10,5.5
2018,Belgium,viwiki,1,10,5.5
2018,Belgium,vlswiki,1,15,8.0
2018,Belgium,warwiki,1,10,5.5
2018,Belgium,wawiki,1,14,7.5
2018,Belgium,yiwiki,1,10,5.5
2018,Belgium,zhwiki,1,10,5.5
2018,Belize,dewiki,1,10,5.5
2018,Belize,enwiki,1,10,5.5
2018,Belize,eswiki,1,10,5.5
2018,Belize,jawiki,1,10,5.5
2018,Belize,plwiki,1,10,5.5
2018,Belize,svwiki,1,10,5.5
2018,Benin,enwiki,1,10,5.5
2018,Benin,eowiki,1,10,5.5
2018,Benin,fiwiki,1,10,5.5
2018,Benin,frwiki,11,23,17.0
2018,Bermuda,enwiki,1,10,5.5
2018,Bhutan,enwiki,1,10,5.5
2018,Bolivia,astwiki,1,10,5.5
2018,Bolivia,aywiki,1,10,5.5
2018,Bolivia,cawiki,1,10,5.5
2018,Bolivia,dewiki,1,10,5.5
2018,Bolivia,elwiki,1,10,5.5
2018,Bolivia,enwiki,2,13,7.5
2018,Bolivia,eswiki,77,95,86.0
2018,Bolivia,frwiki,1,10,5.5
2018,Bolivia,ptwiki,1,10,5.5
2018,Bolivia,ruwiki,1,10,5.5
2018,Bolivia,simplewiki,1,10,5.5
2018,Bosnia and Herzegovina,alswiki,1,10,5.5
2018,Bosnia and Herzegovina,arwiki,1,10,5.5
2018,Bosnia and Herzegovina,aswiki,1,10,5.5
2018,Bosnia and Herzegovina,bewiki,1,10,5.5
2018,Bosnia and Herzegovina,bgwiki,1,10,5.5
2018,Bosnia and Herzegovina,bswiki,14,32,23.0
2018,Bosnia and Herzegovina,bugwiki,1,10,5.5
2018,Bosnia and Herzegovina,cawiki,1,10,5.5
2018,Bosnia and Herzegovina,dewiki,1,10,5.5
2018,Bosnia and Herzegovina,enwiki,56,74,65.0
2018,Bosnia and Herzegovina,eswiki,1,10,5.5
2018,Bosnia and Herzegovina,frwiki,1,10,5.5
2018,Bosnia and Herzegovina,hrwiki,18,35,26.5
2018,Bosnia and Herzegovina,hsbwiki,1,10,5.5
2018,Bosnia and Herzegovina,huwiki,1,10,5.5
2018,Bosnia and Herzegovina,itwiki,1,10,5.5
2018,Bosnia and Herzegovina,jawiki,1,10,5.5
2018,Bosnia and Herzegovina,kowiki,1,10,5.5
2018,Bosnia and Herzegovina,mkwiki,1,10,5.5
2018,Bosnia and Herzegovina,nlwiki,1,10,5.5
2018,Bosnia and Herzegovina,nowiki,1,10,5.5
2018,Bosnia and Herzegovina,papwiki,1,10,5.5
2018,Bosnia and Herzegovina,plwiki,1,10,5.5
2018,Bosnia and Herzegovina,ruwiki,1,10,5.5
2018,Bosnia and Herzegovina,shwiki,4,15,9.5
2018,Bosnia and Herzegovina,simplewiki,1,10,5.5
2018,Bosnia and Herzegovina,skwiki,1,10,5.5
2018,Bosnia and Herzegovina,slwiki,1,10,5.5
2018,Bosnia and Herzegovina,sqwiki,1,10,5.5
2018,Bosnia and Herzegovina,srwiki,42,60,51.0
2018,Bosnia and Herzegovina,svwiki,1,10,5.5
2018,Bosnia and Herzegovina,trwiki,1,10,5.5
2018,Bosnia and Herzegovina,ukwiki,1,10,5.5
2018,Bosnia and Herzegovina,zhwiki,1,10,5.5
2018,Botswana,enwiki,3,16,9.5
2018,Botswana,itwiki,1,10,5.5
2018,Botswana,tnwiki,1,10,5.5
2018,Brazil,acewiki,1,10,5.5
2018,Brazil,afwiki,1,10,5.5
2018,Brazil,akwiki,1,10,5.5
2018,Brazil,amwiki,1,10,5.5
2018,Brazil,anwiki,1,10,5.5
2018,Brazil,arwiki,1,12,6.5
2018,Brazil,astwiki,1,10,5.5
2018,Brazil,aywiki,1,10,5.5
2018,Brazil,azwiki,1,10,5.5
2018,Brazil,bat_smgwiki,1,10,5.5
2018,Brazil,bclwiki,1,10,5.5
2018,Brazil,bewiki,1,10,5.5
2018,Brazil,bgwiki,1,10,5.5
2018,Brazil,bhwiki,1,10,5.5
2018,Brazil,biwiki,1,10,5.5
2018,Brazil,bnwiki,1,10,5.5
2018,Brazil,brwiki,1,10,5.5
2018,Brazil,cawiki,1,10,5.5
2018,Brazil,cbk_zamwiki,1,10,5.5
2018,Brazil,cdowiki,1,10,5.5
2018,Brazil,cebwiki,1,10,5.5
2018,Brazil,chwiki,1,10,5.5
2018,Brazil,cowiki,1,10,5.5
2018,Brazil,cswiki,1,10,5.5
2018,Brazil,cvwiki,1,10,5.5
2018,Brazil,cywiki,1,10,5.5
2018,Brazil,dawiki,1,10,5.5
2018,Brazil,dewiki,3,12,7.5
2018,Brazil,elwiki,1,10,5.5
2018,Brazil,emlwiki,1,10,5.5
2018,Brazil,enwiki,794,812,803.0
2018,Brazil,eowiki,1,15,8.0
2018,Brazil,eswiki,79,97,88.0
2018,Brazil,etwiki,1,10,5.5
2018,Brazil,euwiki,1,10,5.5
2018,Brazil,fawiki,1,10,5.5
2018,Brazil,fiwiki,1,10,5.5
2018,Brazil,fowiki,1,10,5.5
2018,Brazil,frpwiki,1,10,5.5
2018,Brazil,frwiki,17,28,22.5
2018,Brazil,gawiki,1,10,5.5
2018,Brazil,gdwiki,1,10,5.5
2018,Brazil,glwiki,1,10,5.5
2018,Brazil,gnwiki,3,13,8.0
2018,Brazil,gotwiki,1,10,5.5
2018,Brazil,hawiki,1,10,5.5
2018,Brazil,hawwiki,1,14,7.5
2018,Brazil,hewiki,1,10,5.5
2018,Brazil,hifwiki,1,10,5.5
2018,Brazil,hiwiki,1,10,5.5
2018,Brazil,hrwiki,1,10,5.5
2018,Brazil,htwiki,1,10,5.5
2018,Brazil,huwiki,1,10,5.5
2018,Brazil,hywiki,1,10,5.5
2018,Brazil,iawiki,1,10,5.5
2018,Brazil,idwiki,1,10,5.5
2018,Brazil,iewiki,1,10,5.5
2018,Brazil,iowiki,1,12,6.5
2018,Brazil,iswiki,1,10,5.5
2018,Brazil,itwiki,15,31,23.0
2018,Brazil,jawiki,3,14,8.5
2018,Brazil,jbowiki,1,10,5.5
2018,Brazil,kabwiki,1,10,5.5
2018,Brazil,kawiki,1,10,5.5
2018,Brazil,kowiki,1,10,5.5
2018,Brazil,kswiki,1,10,5.5
2018,Brazil,ladwiki,1,10,5.5
2018,Brazil,lawiki,1,10,5.5
2018,Brazil,liwiki,1,10,5.5
2018,Brazil,ltwiki,1,10,5.5
2018,Brazil,lvwiki,1,10,5.5
2018,Brazil,mgwiki,1,10,5.5
2018,Brazil,mkwiki,1,10,5.5
2018,Brazil,mswiki,1,10,5.5
2018,Brazil,mwlwiki,1,10,5.5
2018,Brazil,nawiki,1,10,5.5
2018,Brazil,nlwiki,1,10,5.5
2018,Brazil,nnwiki,1,10,5.5
2018,Brazil,nowiki,1,10,5.5
2018,Brazil,ocwiki,1,10,5.5
2018,Brazil,omwiki,1,15,8.0
2018,Brazil,orwiki,1,10,5.5
2018,Brazil,pamwiki,1,10,5.5
2018,Brazil,papwiki,1,10,5.5
2018,Brazil,plwiki,1,10,5.5
2018,Brazil,ptwiki,3107,3125,3116.0
2018,Brazil,roa_tarawiki,1,10,5.5
2018,Brazil,rowiki,1,12,6.5
2018,Brazil,ruwiki,1,10,5.5
2018,Brazil,scnwiki,1,10,5.5
2018,Brazil,scowiki,1,10,5.5
2018,Brazil,simplewiki,3,14,8.5
2018,Brazil,skwiki,1,10,5.5
2018,Brazil,slwiki,1,10,5.5
2018,Brazil,smwiki,1,10,5.5
2018,Brazil,sowiki,1,10,5.5
2018,Brazil,sqwiki,1,10,5.5
2018,Brazil,srwiki,1,10,5.5
2018,Brazil,svwiki,1,10,5.5
2018,Brazil,swwiki,1,10,5.5
